ID,URL,new_filename,new_filelocation
156,https://www.memphis.edu/cpls/programs/tmsv.php                                                      ,156.txt,preprocessed/httpswwwmemphiseducplsprogramstmsvphp.txt                                             
157,https://www.memphis.edu/cpls/programs/eisp.php                                                      ,157.txt,preprocessed/httpswwwmemphiseducplsprogramseispphp.txt                                             
158,https://www.memphis.edu/cpls/programs/intc.php                                                      ,158.txt,preprocessed/httpswwwmemphiseducplsprogramsintcphp.txt                                             
159,https://www.memphis.edu/cpls/programs/urst.php                                                      ,159.txt,preprocessed/httpswwwmemphiseducplsprogramsurstphp.txt                                             
160,https://www.memphis.edu/cpls/programs/clsp.php                                                      ,160.txt,preprocessed/httpswwwmemphiseducplsprogramsclspphp.txt                                             
161,https://www.memphis.edu/cpls/programs/hmsv.php                                                      ,161.txt,preprocessed/httpswwwmemphiseducplsprogramshmsvphp.txt                                             
162,https://www.memphis.edu/cpls/programs/jdst.php                                                      ,162.txt,preprocessed/httpswwwmemphiseducplsprogramsjdstphp.txt                                             
163,https://www.memphis.edu/cpls/programs/dls.php                                                       ,163.txt,preprocessed/httpswwwmemphiseducplsprogramsdlsphp.txt                                              
164,https://www.memphis.edu/cpls/programs/mals.php                                                      ,164.txt,preprocessed/httpswwwmemphiseducplsprogramsmalsphp.txt                                             
165,https://www.memphis.edu/accountancy/programs/bba.php                                                ,165.txt,preprocessed/httpswwwmemphiseduaccountancyprogramsbbaphp.txt                                       
166,https://www.memphis.edu/economics/programs/undergraduate.php                                        ,166.txt,preprocessed/httpswwwmemphisedueconomicsprogramsundergraduatephp.txt                               
167,https://www.memphis.edu/finance/programs/business_finance_concentration.php                         ,167.txt,preprocessed/httpswwwmemphisedufinanceprogramsbusinessfinanceconcentrationphp.txt                  
168,https://www.memphis.edu/finance/programs/bba_re.php                                                 ,168.txt,preprocessed/httpswwwmemphisedufinanceprogramsbbarephp.txt                                         
169,https://www.memphis.edu/management/programs/bba.php                                                 ,169.txt,preprocessed/httpswwwmemphisedumanagementprogramsbbaphp.txt                                        
170,https://www.memphis.edu/fcbeusso/pdfs/majors/2018/scm_2018.pdf                                      ,170.txt,preprocessed/httpswwwmemphisedufcbeussopdfsmajors2018scm2018pdf.txt                                
171,https://www.memphis.edu/economics/programs/business_economics.php                                   ,171.txt,preprocessed/httpswwwmemphisedueconomicsprogramsbusinesseconomicsphp.txt                           
172,https://www.memphis.edu/economics/programs/financial_economics.php                                  ,172.txt,preprocessed/httpswwwmemphisedueconomicsprogramsfinancialeconomicsphp.txt                          
173,https://www.memphis.edu/accountancy/programs/index.php                                              ,173.txt,preprocessed/httpswwwmemphiseduaccountancyprogramsindexphp.txt                                     
174,https://www.memphis.edu/economics/masters/index.php                                                 ,174.txt,preprocessed/httpswwwmemphisedueconomicsmastersindexphp.txt                                        
175,https://www.memphis.edu/fcbe/programs/index.php                                                     ,175.txt,preprocessed/httpswwwmemphisedufcbeprogramsindexphp.txt                                            
176,https://www.memphis.edu/professionalmba/index.php                                                   ,176.txt,preprocessed/httpswwwmemphiseduprofessionalmbaindexphp.txt                                         
177,https://www.memphis.edu/accountancy/programs/ms.php                                                 ,177.txt,preprocessed/httpswwwmemphiseduaccountancyprogramsmsphp.txt                                        
178,https://www.memphis.edu/bitm/programs/msbaprogram.php                                               ,178.txt,preprocessed/httpswwwmemphisedubitmprogramsmsbaprogramphp.txt                                      
179,https://www.memphis.edu/herff/programs/biom.php                                                     ,179.txt,preprocessed/httpswwwmemphiseduherffprogramsbiomphp.txt                                            
180,https://www.memphis.edu/herff/programs/civil.php                                                    ,180.txt,preprocessed/httpswwwmemphiseduherffprogramscivilphp.txt                                           
181,https://www.memphis.edu/herff/programs/eece.php                                                     ,181.txt,preprocessed/httpswwwmemphiseduherffprogramseecephp.txt                                            
182,https://www.memphis.edu/herff/programs/tech.php                                                     ,182.txt,preprocessed/httpswwwmemphiseduherffprogramstechphp.txt                                            
183,https://www.memphis.edu/herff/programs/mech.php                                                     ,183.txt,preprocessed/httpswwwmemphiseduherffprogramsmechphp.txt                                            
184,https://www.memphis.edu/eece/programs/masters.php                                                   ,184.txt,preprocessed/httpswwwmemphisedueeceprogramsmastersphp.txt                                          
185,https://www.memphis.edu/et/current/grad.php                                                         ,185.txt,preprocessed/httpswwwmemphiseduetcurrentgradphp.txt                                                
186,https://www.memphis.edu/eece/programs/phd.php                                                       ,186.txt,preprocessed/httpswwwmemphisedueeceprogramsphdphp.txt                                              
187,https://www.memphis.edu/wilson/sport/slm_bsed.php                                                   ,187.txt,preprocessed/httpswwwmemphiseduwilsonsportslmbsedphp.txt                                           
188,https://www.memphis.edu/wilson/sport/slm_ms.php                                                     ,188.txt,preprocessed/httpswwwmemphiseduwilsonsportslmmsphp.txt                                             
189,https://www.memphis.edu/nursing/program-admit/bsn/bsnprogram.php                                    ,189.txt,preprocessed/httpswwwmemphisedunursingprogramadmitbsnbsnprogramphp.txt                             
190,https://www.memphis.edu/nursing/program-admit/phd/phdprogram.php                                    ,190.txt,preprocessed/httpswwwmemphisedunursingprogramadmitphdphdprogramphp.txt                             
